X,Y,station_name
43.75005381,-79.46234274,Downsview
43.73458062,-79.44992871,Wilson
43.72481302,-79.44750946,Yorkdale
43.71638143,-79.44402915,Lawrence West
43.70981996,-79.44152842,Glencairn
43.69899665,-79.43598953,Eglinton West
43.68435203,-79.41453588,St Clair West
43.67490988,-79.40725667,Dupont
43.66771459,-79.40375197,Spadina
43.66831877,-79.39867229,St George
43.66717707,-79.39350223,Museum
43.65970495,-79.39034904,Queen's Park
43.65461164,-79.38829598,St Patrick
43.65087411,-79.38661732,Osgoode
43.64764565,-79.38513048,St Andrew
43.64572267,-79.38046226,Union
43.64912088,-79.37804513,King
43.65234651,-79.3793265,Queen
43.65613653,-79.38072965,Dundas
43.66122997,-79.38278217,College
43.66518294,-79.38377079,Wellesley
43.670672,-79.38595009,Bloor
43.67690095,-79.38872589,Rosedale
43.68245,-79.39117824,Summerhill
43.68816298,-79.39328435,St Clair
43.69812339,-79.39733141,Davisville
43.70664584,-79.39915846,Eglinton
43.72542192,-79.40187758,Lawrence
43.74499592,-79.40533068,York Mills
43.76167434,-79.41098715,Sheppard
43.76924125,-79.4129116,North York Centre
43.78149012,-79.41567261,Finch