Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count,Rate
138,Eglinton East,3464.172813,789,0.22776
47,Don Valley Village,1829.876899,495,0.27051
38,Lansing-Westgate,1336.302895,216,0.16164
9,Edenbridge-Humber Valley,2471.837786,384,0.15535
44,Flemingdon Park,3720.421283,816,0.21933
59,Danforth East York,1222.351572,210,0.1718
129,Agincourt North,2109.02346,614,0.29113
99,Mount Pleasant East,846.4977645,142,0.16775
137,Woburn,3791.717304,2028,0.53485
102,Forest Hill North,2045.915977,262,0.12806
111,Rockcliffe-Smythe,3205.070574,713,0.22246
130,Milliken,2009.634201,534,0.26572
55,Thorncliffe Park,4368.012128,922,0.21108
7,Willowridge-Martingrove-Richview,2735.150749,606,0.22156
60,Woodbine-Lumsden,1068.022886,84,0.07865
12,Markland Wood,1317.036195,139,0.10554
10,Princess-Rosethorn,1502.126504,166,0.11051
15,Kingsway South,1391.43566,129,0.09271
114,Lambton Baby Point,1214.777708,97,0.07985
133,Centennial Scarborough,2342.463703,313,0.13362
75,Church-Yonge Corridor,1620.931717,508,0.3134
26,Downsview-Roding-CFB,5232.226406,1834,0.35052
61,Taylor-Massey,2588.79041,406,0.15683
124,Kennedy Park,3177.013374,544,0.17123
100,Yonge-Eglinton,981.6366252,116,0.11817
120,Clairlea-Birchmount,3183.367922,859,0.26984
90,Junction Area,1781.985243,256,0.14366
115,Mount Dennis,4333.112632,589,0.13593
32,Englemount-Lawrence,4568.210263,1022,0.22372
77,Waterfront Communities-The Island,1530.805759,1009,0.65913
74,North St. James Town,3002.954607,559,0.18615
70,South Riverdale,1033.146793,288,0.27876
106,Humewood-Cedarvale,1454.925165,209,0.14365
93,Dovercourt-Wallace Emerson-Junction,1722.866894,631,0.36625
42,Banbury-Don Mills,1346.813504,373,0.27695
97,Yonge-St.Clair,941.890166,118,0.12528
53,Henry Farm,2474.082554,389,0.15723
104,Mount Pleasant West,1864.589655,553,0.29658
8,Humber Heights-Westmount,3397.880891,372,0.10948
89,Runnymede-Bloor West Village,645.4816286,65,0.1007
85,South Parkdale,3002.42574,656,0.21849
140,Guildwood,2964.606232,294,0.09917
118,Tam O'Shanter-Sullivan,2313.634045,635,0.27446
36,Newtonbrook West,3659.099492,872,0.23831
,Missing Address/Postal Code,,1389,#DIV/0!
84,Little Portugal,2217.366155,345,0.15559
49,Bayview Woods-Steeles,2151.436825,283,0.13154
82,Niagara,1417.575369,442,0.3118
14,Islington-City Centre West,2522.461049,1109,0.43965
123,Cliffcrest,2453.71823,391,0.15935
117,L'Amoreaux,2336.73539,1028,0.43993
122,Birchcliffe-Cliffside,2651.294244,591,0.22291
81,Trinity-Bellwoods,1304.662962,216,0.16556
11,Eringate-Centennial-West Deane,1689.261889,314,0.18588
5,Elms-Old Rexdale,3955.160745,374,0.09456
51,Willowdale East,854.5822263,431,0.50434
87,High Park-Swansea,1538.140021,368,0.23925
68,North Riverdale,939.9127224,112,0.11916
71,Cabbagetown-South St. James Town,2245.265233,262,0.11669
83,Dufferin Grove,1832.838354,216,0.11785
30,Brookhaven-Amesbury,3919.58101,696,0.17757
24,Black Creek,6095.597369,1325,0.21737
20,Alderwood,1800.232288,217,0.12054
4,Rexdale-Kipling,3903.504606,411,0.10529
125,Ionview,1898.687779,259,0.13641
110,Keelesdale-Eglinton West,2839.57316,314,0.11058
2,Mount Olive-Silverstone-Jamestown,6463.555259,2130,0.32954
52,Bayview Village,1051.59843,225,0.21396
72,Regent Park,2119.781542,229,0.10803
80,Palmerston-Little Italy,998.119485,138,0.13826
116,Steeles,2834.748,698,0.24623
16,Stonegate-Queensway,1285.377829,322,0.25051
135,Morningside,3678.029218,642,0.17455
98,Rosedale-Moore Park,831.6207045,174,0.20923
136,West Hill,2522.634346,691,0.27392
29,Maple Leaf,6201.167046,627,0.10111
1,West Humber-Clairville,5586.575408,1861,0.33312
101,Forest Hill South,810.6597093,87,0.10732
112,Beechborough-Greenbrook,4682.986164,308,0.06577
79,University,1892.993296,144,0.07607
109,Caledonia-Fairbank,3013.561025,300,0.09955
56,Leaside-Bennington,1099.358213,185,0.16828
103,Lawrence Park South,935.5029976,142,0.15179
73,Moss Park,2350.531552,482,0.20506
31,Yorkdale-Glen Park,5052.688463,748,0.14804
25,Glenfield-Jane Heights,5559.017415,1695,0.30491
91,Weston-Pelham Park,3072.625698,341,0.11098
66,Danforth,1313.883716,127,0.09666
3,Thistletown-Beaumond Heights,6650.579151,689,0.1036
88,High Park North,1055.861384,234,0.22162
58,Old East York,1516.300227,140,0.09233
139,Scarborough Village,4944.989237,827,0.16724
21,Humber Summit,5565.399485,691,0.12416
19,Long Branch,1378.421261,139,0.10084
46,Pleasant View,1820.710583,288,0.15818
131,Rouge,4049.810736,1883,0.46496
18,New Toronto,2128.58763,244,0.11463
34,Bathurst Manor,3950.10395,627,0.15873
67,Playter Estates-Danforth,1729.882112,135,0.07804
54,O'Connor-Parkview,1718.875502,321,0.18675
17,Mimico (includes Humber Bay Shores),2028.618537,689,0.33964
64,Woodbine Corridor,813.3322702,102,0.12541
126,Dorset Park,4267.487901,1067,0.25003
57,Broadview North,1434.907383,165,0.11499
121,Oakridge,3257.49368,451,0.13845
6,Kingsview Village-The Westway,4159.090909,915,0.22
127,Bendale,3324.432577,996,0.2996
107,Oakwood Village,2564.827911,544,0.2121
45,Parkwoods-Donalda,1781.353254,620,0.34805
69,Blake-Jones,1358.87149,105,0.07727
119,Wexford/Maryvale,2604.14801,727,0.27917
108,Briar Hill-Belgravia,2945.921302,420,0.14257
27,York University Heights,4943.282717,1364,0.27593
22,Humbermede,5969.765198,928,0.15545
41,Bridle Path-Sunnybrook-York Mills,938.9164688,87,0.09266
128,Agincourt South-Malvern West,2134.107842,507,0.23757
23,Pelmo Park-Humberlea,4542.063048,487,0.10722
28,Rustic,3148.576602,313,0.09941
86,Roncesvalles,1375.717911,206,0.14974
78,Kensington-Chinatown,1733.073279,311,0.17945
92,Corso Italia-Davenport,2426.944032,343,0.14133
63,The Beaches,625.9563222,135,0.21567
48,Hillcrest Village,1334.593126,226,0.16934
43,Victoria Village,3021.130782,529,0.1751
50,Newtonbrook East,938.0629931,151,0.16097
62,East End-Danforth,1412.469015,302,0.21381
40,St.Andrew-Windfields,976.8695262,174,0.17812
132,Malvern,3995.981185,1750,0.43794
96,Casa Loma,1285.557987,141,0.10968
134,Highland Creek,3609.732672,451,0.12494
65,Greenwood-Coxwell,1297.079836,187,0.14417
39,Bedford Park-Nortown,2216.388363,515,0.23236
13,Etobicoke West Mall,3241.053342,384,0.11848
33,Clanton Park,2234.09422,368,0.16472
105,Lawrence Park North,944.7525159,138,0.14607
35,Westminster-Branson,4483.519829,1178,0.26274
113,Weston,5491.32948,988,0.17992
94,Wychwood,1693.497805,243,0.14349
95,Annex,1821.398152,556,0.30526
37,Willowdale West,1287.198866,218,0.16936
76,Bay Street Corridor,1066.015428,275,0.25797